Field of Study,Subject,Course Name,Course Description,Prerequisites,Duration,Institution
Engineering,Aerospace Engineering,Introduction to Aerospace Engineering,"Overview of aerospace engineering principles, including aerodynamics, propulsion, and spacecraft design.","Mathematics,Physics,Chemistry",1 year,University of ABC
Engineering,Aerospace Engineering,Aircraft Design,"Study of aircraft design methodologies, including aerodynamic analysis, structural design, and systems integration.",Introduction to Aerospace Engineering,2 years,University of XYZ
Engineering,Electrical Engineering,Introduction to Electrical Engineering,"A comprehensive introduction to the principles and applications of electrical engineering. Covers topics such as circuits, electronics, and electromagnetism.","Mathematics,Physics,Chemistry",1 year,University of XYZ
Engineering,Electrical Engineering,Advanced Electrical Engineering Techniques,"Advanced topics in electrical engineering including signal processing, power systems, and control systems",Introduction to Electrical Engineering,2 years,University of XYZ
Engineering,Mechanical Engineering,"Introduction to Mechanical Engineering,Basic concepts of mechanical engineering including mechanics, thermodynamics, and materials science.","Mathematics,Physics,Chemistry",1 year,University of ABC,
Engineering,Mechanical Engineering,"Advanced Mechanical Engineering,Advanced topics in mechanical engineering such as robotics, fluid dynamics, and finite element analysis.",Introduction to Mechanical Engineering,2 years,University of ABC,
Engineering,Computer Science,Introduction to Computer Science,"An introduction to programming, algorithms, data structures, and computer architecture",Mathematics,1 year,Online Platform XYZ
Engineering,"Computer Science,Advanced Algorithms and Data Structures","Advanced study of algorithms and data structures, including analysis and design techniques.",Introduction to Computer Science,2 years,University of ABC,
Engineering,Civil Engineering,"Introduction to Civil Engineering,Fundamental principles and practices of civil engineering, including structural analysis, geotechnical engineering, and transportation.","Mathematics,Physics,Chemistry",1 year,University of XYZ,
Engineering,Civil Engineering,Environmental Engineering,Study of environmental issues and solutions in civil engineering projects.,Introduction to Civil Engineering,2 years,University of XYZ
Medicine,Internal Medicine,Introduction to Internal Medicine,"A comprehensive overview of internal medicine, including diagnosis, treatment, and patient care.",Bachelor's degree in Biology or related field,4 years,Medical College ABC
Medicine,Internal Medicine,Residency in Internal Medicine,A residency program focused on specialized training and hands-on experience in internal medicine.,Medical degree,3 years,Medical Center XYZ
Medicine,Surgery,Introduction to Surgery,"Basic principles and techniques of surgery, including preoperative care, surgical procedures, and postoperative management.",Bachelor's degree in Medicine,4 years,Medical College ABC
